t_sec,v_varpi_0deg,v_varpi_90deg,v_varpi_180deg,v_varpi_270deg,v_varpi_60deg,v_varpi_120deg,v_varpi_240deg,v_varpi_300deg,v_circular
12830.400000,-20330.104373,-28845.449354,20330.104373,28845.449354,-35145.944111,-14815.839738,35145.944111,14815.839738,-14239.886576
12873.600000,-20420.422704,-28692.798267,20420.422704,28692.798267,-35058.903557,-14638.480853,35058.903557,14638.480853,-14533.720933
12916.800000,-20510.011115,-28540.291905,20510.011115,28540.291905,-34971.623379,-14461.612264,34971.623379,14461.612264,-14826.981523
12960.000000,-20598.875096,-28387.930065,20598.875096,28387.930065,-34884.106146,-14285.231049,34884.106146,14285.231049,-15119.656769
13003.200000,-20687.020071,-28235.712527,20687.020071,28235.712527,-34796.354377,-14109.334307,34796.354377,14109.334307,-15411.735118
13046.400000,-20774.451398,-28083.639051,20774.451398,28083.639051,-34708.370548,-13933.919150,34708.370548,13933.919150,-15703.205037
13089.600000,-20861.174372,-27931.709385,20861.174372,27931.709385,-34620.157084,-13758.982712,34620.157084,13758.982712,-15994.055021
13132.800000,-20947.194225,-27779.923256,20947.194225,27779.923256,-34531.716367,-13584.522142,34531.716367,13584.522142,-16284.273587
13176.000000,-21032.516126,-27628.280377,21032.516126,27628.280377,-34443.050732,-13410.534606,34443.050732,13410.534606,-16573.849277
13219.200000,-21117.145182,-27476.780445,21117.145182,27476.780445,-34354.162471,-13237.017289,34354.162471,13237.017289,-16862.770661
13262.400000,-21201.086441,-27325.423143,21201.086441,27325.423143,-34265.053831,-13063.967390,34265.053831,13063.967390,-17151.026331
13305.600000,-21284.344889,-27174.208137,21284.344889,27174.208137,-34175.727019,-12891.382130,34175.727019,12891.382130,-17438.604908
13348.800000,-21366.925453,-27023.135082,21366.925453,27023.135082,-34086.184197,-12719.258744,34086.184197,12719.258744,-17725.495038
13392.000000,-21448.833003,-26872.203614,21448.833003,26872.203614,-33996.427487,-12547.594484,33996.427487,12547.594484,-18011.685397
13435.200000,-21530.072350,-26721.413361,21530.072350,26721.413361,-33906.458971,-12376.386620,33906.458971,12376.386620,-18297.164685
13478.400000,-21610.648248,-26570.763933,21610.648248,26570.763933,-33816.280688,-12205.632440,33816.280688,12205.632440,-18581.921632
13521.600000,-21690.565395,-26420.254931,21690.565395,26420.254931,-33725.894642,-12035.329247,33725.894642,12035.329247,-18865.944997
13564.800000,-21769.828433,-26269.885940,21769.828433,26269.885940,-33635.302795,-11865.474362,33635.302795,11865.474362,-19149.223566
13608.000000,-21848.441950,-26119.656535,21848.441950,26119.656535,-33544.507072,-11696.065123,33544.507072,11696.065123,-19431.746158
13651.200000,-21926.410478,-25969.566279,21926.410478,25969.566279,-33453.509362,-11527.098884,33453.509362,11527.098884,-19713.501617
13694.400000,-22003.738498,-25819.614723,22003.738498,25819.614723,-33362.311515,-11358.573017,33362.311515,11358.573017,-19994.478820
13737.600000,-22080.430436,-25669.801407,22080.430436,25669.801407,-33270.915346,-11190.484910,33270.915346,11190.484910,-20274.666676
13780.800000,-22156.490667,-25520.125858,22156.490667,25520.125858,-33179.322635,-11022.831967,33179.322635,11022.831967,-20554.054123
13824.000000,-22231.923514,-25370.587596,22231.923514,25370.587596,-33087.535125,-10855.611610,33087.535125,10855.611610,-20832.630131
13867.200000,-22306.733249,-25221.186129,22306.733249,25221.186129,-32995.554526,-10688.821277,32995.554526,10688.821277,-21110.383702
13910.400000,-22380.924093,-25071.920954,22380.924093,25071.920954,-32903.382515,-10522.458421,32903.382515,10522.458421,-21387.303872
13953.600000,-22454.500220,-24922.791559,22454.500220,24922.791559,-32811.020733,-10356.520514,32811.020733,10356.520514,-21663.379707
13996.800000,-22527.465751,-24773.797423,22527.465751,24773.797423,-32718.470792,-10191.005042,32718.470792,10191.005042,-21938.600309
14040.000000,-22599.824761,-24624.938016,22599.824761,24624.938016,-32625.734269,-10025.909508,32625.734269,10025.909508,-22212.954813
14083.200000,-22671.581278,-24476.212796,22671.581278,24476.212796,-32532.812709,-9861.231431,32532.812709,9861.231431,-22486.432388
14126.400000,-22742.739279,-24327.621217,22742.739279,24327.621217,-32439.707627,-9696.968348,32439.707627,9696.968348,-22759.022236
14169.600000,-22813.302699,-24179.162720,22813.302699,24179.162720,-32346.420507,-9533.117808,32346.420507,9533.117808,-23030.713598
14212.800000,-22883.275423,-24030.836741,22883.275423,24030.836741,-32252.952804,-9369.677381,32252.952804,9369.677381,-23301.495746
14256.000000,-22952.661293,-23882.642707,22952.661293,23882.642707,-32159.305940,-9206.644647,32159.305940,9206.644647,-23571.357991
14299.200000,-23021.464103,-23734.580036,23021.464103,23734.580036,-32065.481311,-9044.017208,32065.481311,9044.017208,-23840.289679
14342.400000,-23089.687606,-23586.648140,23089.687606,23586.648140,-31971.480282,-8881.792677,31971.480282,8881.792677,-24108.280194
14385.600000,-23157.335508,-23438.846423,23157.335508,23438.846423,-31877.304191,-8719.968684,31877.304191,8719.968684,-24375.318955
14428.800000,-23224.411473,-23291.174281,23224.411473,23291.174281,-31782.954348,-8558.542875,31782.954348,8558.542875,-24641.395420
14472.000000,-23290.919122,-23143.631105,23290.919122,23143.631105,-31688.432034,-8397.512912,31688.432034,8397.512912,-24906.499085
14515.200000,-23356.862034,-22996.216278,23356.862034,22996.216278,-31593.738505,-8236.876471,31593.738505,8236.876471,-25170.619483
14558.400000,-23422.243744,-22848.929176,23422.243744,22848.929176,-31498.874988,-8076.631244,31498.874988,8076.631244,-25433.746189
14601.600000,-23487.067748,-22701.769169,23487.067748,22701.769169,-31403.842685,-7916.774937,31403.842685,7916.774937,-25695.868815
14644.800000,-23551.337499,-22554.735622,23551.337499,22554.735622,-31308.642774,-7757.305275,31308.642774,7757.305275,-25956.977011
14688.000000,-23615.056412,-22407.827892,23615.056412,22407.827892,-31213.276404,-7598.219993,31213.276404,7598.219993,-26217.060470
14731.200000,-23678.227858,-22261.045332,23678.227858,22261.045332,-31117.744702,-7439.516844,31117.744702,7439.516844,-26476.108925
14774.400000,-23740.855173,-22114.387289,23740.855173,22114.387289,-31022.048768,-7281.193595,31022.048768,7281.193595,-26734.112148
14817.600000,-23802.941650,-21967.853102,23802.941650,21967.853102,-30926.189678,-7123.248028,30926.189678,7123.248028,-26991.059954
14860.800000,-23864.490546,-21821.442108,23864.490546,21821.442108,-30830.168486,-6965.677940,30830.168486,6965.677940,-27246.942200
14904.000000,-23925.505079,-21675.153638,23925.505079,21675.153638,-30733.986221,-6808.481142,30733.986221,6808.481142,-27501.748783
